accX,accY,accZ,rotX,rotY,rotZ,graX,graY,graZ,activity
-0.047884032,0.19153613,10.055647,0.0020594886,-0.002094395,0.00012217305,-0.0436,0.192,9.8046,Walking_Type
-0.047884032,0.19153613,10.055647,0.0020594886,-0.002094395,0.00012217305,-0.044,0.192,9.8046,Walking_Type
-0.047884032,0.19153613,10.055647,-0.007696902,-0.004537856,0.00012217305,-0.044,0.192,9.8046,Walking_Type
-0.06703765,0.21068975,9.998186,-0.007696902,-0.004537856,0.00012217305,-0.0431,0.1927,9.8046,Walking_Type
-0.06703765,0.21068975,9.998186,-0.007696902,-0.004537856,0.00012217305,-0.0431,0.1927,9.8046,Walking_Type
-0.06703765,0.21068975,9.998186,-0.007696902,-0.004537856,0.00012217305,-0.0435,0.1935,9.8046,Walking_Type
-0.06703765,0.21068975,9.998186,-0.007696902,-0.004537856,0.00012217305,-0.0431,0.1942,9.8046,Walking_Type
-0.06703765,0.21068975,9.998186,-0.007696902,-0.004537856,0.00012217305,-0.0431,0.1942,9.8046,Walking_Type
-0.06703765,0.21068975,9.998186,-0.007696902,-0.004537856,0.00012217305,-0.041899998,0.1933,9.8046,Walking_Type
-0.06703765,0.21068975,9.998186,-0.007696902,-0.004537856,0.00012217305,-0.041899998,0.1933,9.8046,Walking_Type
-0.06703765,0.21068975,9.998186,-0.007696902,-0.004537856,0.00012217305,-0.0424,0.19229999,9.8046,Walking_Type
-0.06703765,0.21068975,9.998186,0.0020594886,-0.0008726646,0.00012217305,-0.0424,0.19229999,9.8046,Walking_Type
-0.06703765,0.21068975,9.998186,0.0020594886,-0.0008726646,0.00012217305,-0.0437,0.1924,9.8046,Walking_Type
-0.047884032,0.18195933,9.950302,0.0020594886,-0.0008726646,0.00012217305,-0.0437,0.1924,9.8046,Walking_Type
-0.047884032,0.18195933,9.950302,0.0020594886,-0.0008726646,0.00012217305,-0.043199997,0.1924,9.8046,Walking_Type
-0.047884032,0.18195933,9.950302,0.0020594886,-0.0008726646,0.00012217305,-0.043199997,0.1924,9.8046,Walking_Type
-0.047884032,0.18195933,9.950302,0.0020594886,-0.0008726646,0.00012217305,-0.044499997,0.19319999,9.8046,Walking_Type
-0.047884032,0.18195933,9.950302,0.0020594886,-0.0008726646,0.00012217305,-0.044499997,0.19319999,9.8046,Walking_Type
-0.047884032,0.18195933,9.950302,0.0020594886,-0.0008726646,0.00012217305,-0.0431,0.19319999,9.8046,Walking_Type
-0.047884032,0.18195933,9.950302,0.0020594886,-0.0008726646,0.00012217305,-0.0431,0.19319999,9.8046,Walking_Type
-0.047884032,0.18195933,9.950302,0.0020594886,-0.0008726646,0.00012217305,-0.0431,0.19319999,9.8046,Walking_Type
-0.047884032,0.18195933,9.950302,0.0020594886,-0.0008726646,0.00012217305,-0.0436,0.19319999,9.8046,Walking_Type
-0.047884032,0.18195933,9.950302,0.0020594886,-0.0008726646,0.00012217305,-0.0436,0.19319999,9.8046,Walking_Type
-0.05746084,0.19153613,9.998186,0.0020594886,-0.0008726646,0.00012217305,-0.044,0.19319999,9.8046,Walking_Type
-0.05746084,0.19153613,9.998186,0.0020594886,-0.0008726646,0.00012217305,-0.044,0.19319999,9.8046,Walking_Type
-0.05746084,0.19153613,9.998186,0.0020594886,-0.0008726646,0.00012217305,-0.0451,0.19319999,9.8046,Walking_Type
-0.05746084,0.19153613,9.998186,0.0020594886,-0.0008726646,0.00012217305,-0.0451,0.19319999,9.8046,Walking_Type
-0.05746084,0.19153613,9.998186,0.0020594886,-0.0008726646,0.00012217305,-0.0446,0.19319999,9.8046,Walking_Type
